step,Episode_Reward/track_lin_vel_xy,Episode_Reward/track_ang_vel_z,Episode_Reward/alive,Episode_Reward/termination_penalty,Episode_Reward/flat_orientation_l2,Episode_Reward/base_height,Episode_Reward/action_rate_l1,Episode_Reward/dof_pos_limits,Episode_Reward/energy,Episode_Reward/joint_deviation_legs,Episode_Reward/joint_deviation_hip_knee,Episode_Reward/feet_air_time,Episode_Reward/feet_slide,Episode_Reward/base_linear_velocity,Episode_Reward/base_angular_velocity,Episode_Reward/joint_vel,Episode_Reward/joint_acc,Episode_Reward/feet_contact_number,Episode_Reward/feet_clearance,Episode_Reward/stand_still,Episode_Reward/undesired_contacts,Curriculum/lin_vel_cmd_levels,Curriculum/ang_vel_cmd_levels,Metrics/base_velocity/error_vel_xy,Metrics/base_velocity/error_vel_yaw,Episode_Termination/time_out,Episode_Termination/illegal_contact,Loss/value_function,Loss/surrogate,Loss/entropy,Loss/learning_rate,Policy/mean_noise_std,Perf/total_fps,Perf/collection time,Perf/learning_time,Train/mean_reward,Train/mean_episode_length,Train/mean_reward/time,Train/mean_episode_length/time
42,0.000000,0.000000,0.070326,-0.200000,-0.017250,-0.001760,-0.021890,-0.000297,-0.000751,-0.011562,0.000000,0.000303,-0.015666,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.184602,0.338632,0.000000,1.000000,0.013591,0.005908,18.118181,0.000260,1.098193,184974.000000,1.837684,0.288100,-3.978075,137.619995,-3.978075,137.619995
43,0.000000,0.000000,0.075569,-0.200000,-0.016894,-0.001772,-0.023820,-0.000320,-0.000795,-0.012337,0.000000,0.000122,-0.017315,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.189348,0.371551,0.000000,1.000000,0.008814,0.003345,18.117527,0.000878,1.097765,190875.000000,1.851612,0.208451,-3.952999,149.830002,-3.952999,149.830002
44,0.000000,0.000000,0.086359,-0.200000,-0.018640,-0.001734,-0.027114,-0.000370,-0.000929,-0.013875,0.000000,0.000087,-0.018775,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.205813,0.410918,0.000000,1.000000,0.007015,-0.001918,18.105650,0.001317,1.097811,193551.000000,1.837277,0.194311,-3.926697,164.100006,-3.926697,164.100006
45,0.000000,0.000000,0.106401,-0.200000,-0.019912,-0.001722,-0.033521,-0.000479,-0.001126,-0.017963,0.000000,0.000097,-0.022835,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.223172,0.507301,0.000000,1.000000,0.011125,0.001853,18.103205,0.001317,1.098230,198262.000000,1.776035,0.207270,-3.872335,187.429993,-3.872335,187.429993
46,0.000000,0.000000,0.084100,-0.200000,-0.017518,-0.001565,-0.026594,-0.000407,-0.000884,-0.013947,0.000000,0.000132,-0.017709,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.199178,0.413573,0.000000,1.000000,0.009130,0.001520,18.109463,0.000878,1.096170,201141.000000,1.757379,0.197540,-3.834615,203.240005,-3.834615,203.240005
47,0.000000,0.000000,0.101722,-0.200000,-0.019697,-0.001848,-0.032155,-0.000480,-0.001114,-0.017241,0.000000,0.000102,-0.021809,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.236214,0.483290,0.000000,1.000000,0.006831,-0.000794,18.049612,0.001975,1.093351,200707.000000,1.760369,0.198780,-3.849530,200.110001,-3.849530,200.110001
48,0.000000,0.000000,0.110566,-0.200000,-0.019919,-0.001624,-0.034937,-0.000584,-0.001178,-0.017979,0.000000,0.000092,-0.023786,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.217417,0.538747,0.000000,1.000000,0.005193,-0.001878,18.037794,0.002963,1.091448,200217.000000,1.769418,0.194527,-3.829174,206.929993,-3.829174,206.929993
49,0.000000,0.000000,0.125281,-0.200000,-0.022526,-0.002058,-0.039776,-0.000614,-0.001384,-0.021534,0.000000,0.000337,-0.027027,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.267288,0.606545,0.000000,1.000000,0.004317,0.002174,18.012030,0.001975,1.090381,205702.000000,1.701408,0.210166,-3.830086,205.270004,-3.830086,205.270004
50,0.000000,0.000000,0.120892,-0.200000,-0.025385,-0.001640,-0.038732,-0.000713,-0.001506,-0.020168,0.000000,0.000559,-0.026060,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.324773,0.604015,0.000000,1.000000,0.002203,-0.002613,18.001417,0.001317,1.087137,206503.000000,1.698777,0.205384,-3.804082,221.050003,-3.804082,221.050003
51,0.000000,0.000000,0.067771,-0.200000,-0.017525,-0.001728,-0.021542,-0.000398,-0.000833,-0.010442,0.000000,0.000210,-0.014883,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.215946,0.333190,0.000000,1.000000,0.003034,-0.000408,17.956472,0.000585,1.084113,209266.000000,1.661334,0.217685,-3.812229,218.500000,-3.812229,218.500000
